epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,345.162,0.4574,0.31239,0.85545,0.99087,0.98123,0.99255,0.91828,0.39683,0.27562,0.83351,0.00165377,0.00165377,0.00165377
43,352.285,0.43889,0.30589,0.85235,0.99317,0.97855,0.99371,0.9431,0.32233,0.2416,0.81815,0.00163779,0.00163779,0.00163779
44,359.448,0.44349,0.30634,0.85657,0.98924,0.98622,0.99325,0.937,0.34661,0.2381,0.82144,0.00162153,0.00162153,0.00162153
45,366.734,0.45809,0.31067,0.85576,0.99455,0.97781,0.99247,0.92867,0.36326,0.25087,0.8258,0.00160499,0.00160499,0.00160499
46,374.149,0.44039,0.30134,0.84777,0.99358,0.98928,0.99323,0.92191,0.37376,0.26498,0.82728,0.0015882,0.0015882,0.0015882
47,381.572,0.4382,0.29745,0.85056,0.98666,0.99156,0.99329,0.94937,0.31997,0.23414,0.8155,0.00157114,0.00157114,0.00157114
48,389.09,0.42989,0.29379,0.84969,0.99693,0.98928,0.99462,0.93639,0.33915,0.24082,0.82247,0.00155384,0.00155384,0.00155384
49,396.261,0.42601,0.29731,0.84931,0.9893,0.99163,0.99415,0.9528,0.31817,0.23194,0.81941,0.00153629,0.00153629,0.00153629
50,403.998,0.44202,0.30368,0.8569,0.98655,0.98357,0.99345,0.95172,0.3099,0.23603,0.81584,0.00151851,0.00151851,0.00151851
51,411.332,0.44184,0.30632,0.84845,0.9973,0.98844,0.99349,0.93834,0.3252,0.23679,0.81412,0.0015005,0.0015005,0.0015005
52,418.718,0.42924,0.29923,0.85095,0.99195,0.99158,0.99376,0.94761,0.32555,0.22695,0.8152,0.00148227,0.00148227,0.00148227
53,426.155,0.43767,0.29985,0.85153,0.9912,0.99464,0.99467,0.94933,0.31573,0.23049,0.81393,0.00146383,0.00146383,0.00146383
54,433.389,0.4262,0.29465,0.84688,0.98927,0.98902,0.99376,0.95409,0.31505,0.22331,0.81731,0.00144519,0.00144519,0.00144519
